# Paires de synonymes RETIREES du cours, apres relecture humaine
#
# Lu par tests/synonymes.py, qui les ajoute a sa liste A_ECARTER. Sans ce
# fichier, la prochaine regeneration de synonymes.json les ramenerait toutes :
# synonymes.json est un fichier DERIVE, on ne l'edite jamais a la main.
#
# D'OU CA VIENT. Les paires sont trouvees automatiquement -- deux mots
# allemands qui partagent une traduction en francais ET en anglais. La machine
# rapproche donc ce que les deux langues confondent, et elle se trompe sur les
# mots a plusieurs sens. Barbara Ruprecht, locutrice native, a relu la liste
# entiere dans l'app (v416-v610) et marque celles qui ne vont pas.
#
# ⚠️ CE QU'ELLE A SIGNALE ET QU'ON N'A PAS APPLIQUE : 10 paires sur 81
# opposaient un mot que le cours etiquette deja « (Suisse) » ou « (Autriche) »
# -- Abwart/Hausmeister, Fleischhauer/Metzger, Gleis/Perron... Ce sont de vrais
# synonymes DANS LEUR VARIETE, et l'app affiche la marque regionale a cote du
# mot. Les retirer aurait supprime du contenu juste parce qu'une locutrice
# d'Allemagne ne l'emploie pas. Decision de Jacques, le 15 septembre 2026.
# Elles sont listees en bas du fichier, en commentaire, pour qu'on ne
# recommence pas l'arbitrage dans six mois.
#
# Format : mot_a | mot_b

Abfahrt | Abflug
abgehen | weggehen
abheben | entziehen
abmachen | ausziehen
Absatz | Ferse
abschließen | folgern
Ahnung | Einfall
Ahnung | Idee
akzeptieren | entgegennehmen
andeuten | anregen
anmelden | eintragen
annehmen | entgegennehmen
anrufen | nennen
anwenden | zutreffen
aufbewahren | erhalten
aufgehen | aufmachen
aufgehen | eröffnen
aufziehen | erheben
aufziehen | erziehen
Ausfahrt | Ausgang
Bahn | Gleis
Befehl | Orden
Befehl | Ordnung
Befehl | Reihenfolge
begreifen | fassen
bekommen | entgegennehmen
beschäftigen | besetzen
bestimmen | ermitteln
Betrachtung | Rücksicht
betreuen | erledigen
bewältigen | verwalten
Creme | Sahne
deutlich | übersichtlich
Einfahrt | Eingang
Einfall | Vorstellung
eingehen | sterben
Einkommen | Einnahme
einleiten | sich anbahnen
Einsatz | Verpflichtung
entfallen | zufallen
entfallen | zukommen
entgegennehmen | hinnehmen
erfahren | lernen
erfassen | greifen
erheben | erziehen
ermitteln | festlegen
Fachfrau | Fachmann
fahren | gehen
folgen | nachvollziehen
geschehen | vorkommen
hervorbringen | zeitigen
Interesse | Zins
leise | weich
Mitarbeit | Teilnahme
nennen | rufen
Orden | Ordnung
Orden | Reihenfolge
produzieren | zeitigen
präsentieren | vorlegen
reserviert | verschlossen
Revision | Wiederholung
rufen | schreien
Rückkehr | Rückläufer
Schlagobers | Schlagsahne
schließen | zugehen
Schwimmbad | Swimmingpool
sich verändern | wechseln
Strom | Strömung
Ukrainer | Ukrainisch
verpacken | wickeln
verändern | wechseln


# GARDEES VOLONTAIREMENT -- variantes regionales (10)
#   Abwart                 | Hausmeister             (schweizerisch)
#   Briefträger            | Pöstler                 (schweizerisch)
#   Briefumschlag          | Couvert                 (schweizerisch)
#   Faschiertes            | Hackfleisch             (oesterreichisch)
#   Fauteuil               | Sessel                  (schweizerisch)
#   Fleischhauer           | Metzger                 (oesterreichisch)
#   Gleis                  | Perron                  (schweizerisch)
#   Hähnchen               | Poulet                  (schweizerisch)
#   Hühnchen               | Poulet                  (schweizerisch)
#   Ordination             | Praxis                  (oesterreichisch)
