type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
conjonction;A1;conjonction de coordination;und;et;and;Ich koche und du deckst den Tisch.;Je cuisine et tu mets la table.;I'm cooking and you're setting the table.
conjonction;A1;conjonction de coordination;oder;ou;or;Kommst du mit oder bleibst du hier?;Tu viens avec nous ou tu restes ici ?;Are you coming with us or staying here?
conjonction;A1;conjonction de coordination;aber;mais;but;Ich bin müde, aber ich arbeite weiter.;Je suis fatigué, mais je continue à travailler.;I'm tired, but I keep working.
conjonction;A2;conjonction de coordination;denn;car;because;Ich bleibe zu Hause, denn ich bin krank.;Je reste à la maison, car je suis malade.;I'm staying home, because I'm sick.
conjonction;A2;conjonction de coordination;sondern;mais (plutôt);but rather;Ich trinke keinen Kaffee, sondern Tee.;Je ne bois pas de café, mais du thé.;I don't drink coffee, but rather tea.
conjonction;A1;conjonction de subordination;weil;parce que;because;Ich bleibe zu Hause, weil ich krank bin.;Je reste à la maison parce que je suis malade.;I'm staying home because I'm sick.
conjonction;A2;conjonction de subordination;dass;que;that;Ich weiß, dass du recht hast.;Je sais que tu as raison.;I know that you're right.
conjonction;A2;conjonction de subordination;wenn;si, quand (répétitif/futur);if, when;Ich rufe an, wenn ich ankomme.;J'appelle quand j'arrive.;I'll call when I arrive.
conjonction;B1;conjonction de subordination;obwohl;bien que;although;Ich gehe raus, obwohl es regnet.;Je sors, bien qu'il pleuve.;I'm going out, although it's raining.
conjonction;B1;conjonction de subordination;während;pendant que;while;Ich koche, während du den Tisch deckst.;Je cuisine pendant que tu mets la table.;I'm cooking while you set the table.
conjonction;B1;conjonction de subordination;bevor;avant que;before;Ruf mich an, bevor du kommst.;Appelle-moi avant de venir.;Call me before you come.
conjonction;B1;conjonction de subordination;nachdem;après que;after;Nachdem ich gegessen hatte, ging ich schlafen.;Après avoir mangé, je suis allé dormir.;After I had eaten, I went to sleep.
conjonction;B1;conjonction de subordination;ob;si (question indirecte);whether;Ich weiß nicht, ob er kommt.;Je ne sais pas s'il vient.;I don't know whether he's coming.
conjonction;B1;conjonction de subordination;da;comme, puisque;since;Da es regnet, bleiben wir drinnen.;Comme il pleut, on reste à l'intérieur.;Since it's raining, we're staying inside.
conjonction;B1;conjonction de subordination;damit;afin que;so that;Ich spreche langsam, damit du mich verstehst.;Je parle lentement afin que tu me comprennes.;I speak slowly so that you understand me.
conjonction;B2;conjonction de subordination;sodass;de sorte que;so that;Es regnete stark, sodass wir zu Hause blieben.;Il pleuvait fort, de sorte qu'on est restés à la maison.;It rained hard, so we stayed home.
conjonction;A2;conjonction de subordination;als;quand (unique, passé);when (past, one-time);Als ich Kind war, wohnte ich in Berlin.;Quand j'étais enfant, j'habitais à Berlin.;When I was a child, I lived in Berlin.
conjonction;B1;conjonction de subordination;bis;jusqu'à ce que;until;Ich warte, bis du fertig bist.;J'attends jusqu'à ce que tu aies fini.;I'll wait until you're done.
conjonction;B1;conjonction de subordination;falls;au cas où, si;in case, if;Falls es regnet, bleiben wir zu Hause.;Au cas où il pleuvrait, nous restons à la maison.;In case it rains, we'll stay at home.
conjonction;B1;conjonction de subordination;sobald;dès que;as soon as;Ich rufe an, sobald ich zu Hause bin.;J'appelle dès que je suis à la maison.;I'll call as soon as I'm home.
conjonction;B1;conjonction de subordination;solange;tant que;as long as;Solange es hell ist, spielen die Kinder draußen.;Tant qu'il fait jour, les enfants jouent dehors.;As long as it's light, the children play outside.
conjonction;B1;conjonction de subordination;indem;en (+ participe), du fait que;by (doing);Man lernt eine Sprache, indem man sie spricht.;On apprend une langue en la parlant.;You learn a language by speaking it.
conjonction;B1;conjonction de coordination;umso;d'autant plus;all the more;Je mehr man übt, umso besser wird es.;Plus on s'exerce, mieux c'est.;The more you practise, the better it gets.
conjonction;B1;conjonction de subordination;soviel;autant que (je sache);as far as (I know);Soviel ich weiß, ist er noch im Urlaub.;Autant que je sache, il est encore en vacances.;As far as I know, he is still on holiday.
