niveau;infinitif;traduction;regime;preposition;sans_complement;reflechi;temps;phrase_de;phrase_fr;phrase_en
A1;sein;être;Nominativ;;;;Präsens;Ich bin Student.;Je suis étudiant.;I am a student.
A1;sein;être;Nominativ;;;;Perfekt;Ich bin Student gewesen.;J'ai été étudiant.;I have been a student.
A1;sein;être;Nominativ;;;;Präteritum;Ich war Lehrer.;J'étais professeur.;I was a teacher.
A1;sein;être;Nominativ;;;;Konjunktiv II;Ich wäre gern Lehrer.;J'aimerais bien être professeur.;I would like to be a teacher.
A1;haben;avoir;Akkusativ;;;;Präsens;Ich habe einen Bruder.;J'ai un frère.;I have a brother.
A1;haben;avoir;Akkusativ;;;;Perfekt;Ich habe schon zwei Kaffees gehabt.;J'ai déjà eu deux cafés.;I've already had two coffees.
A1;haben;avoir;Akkusativ;;;;Präteritum;Ich hatte gestern keine Zeit.;Je n'avais pas le temps hier.;I had no time yesterday.
A1;haben;avoir;Akkusativ;;;;Konjunktiv II;Wenn ich mehr Zeit hätte, würde ich öfter kochen.;Si j'avais plus de temps, je cuisinerais plus souvent.;If I had more time, I would cook more often.
A1;werden;devenir;Nominativ;;;;Präsens;Ich werde Lehrer.;Je vais devenir professeur.;I am going to become a teacher.
A1;werden;devenir;Nominativ;;;;Perfekt;Ich bin Lehrer geworden.;Je suis devenu professeur.;I became a teacher.
A1;werden;devenir;Nominativ;;;;Präteritum;Er wurde letztes Jahr Vater.;Il est devenu père l'année dernière.;He became a father last year.
A1;werden;devenir;Nominativ;;;;Konjunktiv II;Ich würde gern Lehrer werden.;J'aimerais bien devenir professeur.;I would like to become a teacher.
A1;können;pouvoir;;;oui;;Präsens;Ich kann gut schwimmen.;Je sais bien nager.;I can swim well.
A1;können;pouvoir;;;oui;;Perfekt;Ich habe das Problem lösen können.;J'ai pu résoudre le problème.;I was able to solve the problem.
A1;können;pouvoir;;;oui;;Präteritum;Ich konnte als Kind gut schwimmen.;Enfant, je savais bien nager.;I could swim well as a child.
A1;können;pouvoir;;;oui;;Konjunktiv II;Ich könnte dir helfen, wenn ich Zeit hätte.;Je pourrais t'aider si j'avais le temps.;I could help you if I had time.
A1;müssen;devoir;;;oui;;Präsens;Ich muss jetzt gehen.;Je dois y aller maintenant.;I have to go now.
A1;müssen;devoir;;;oui;;Perfekt;Ich habe früh aufstehen müssen.;J'ai dû me lever tôt.;I had to get up early.
A1;müssen;devoir;;;oui;;Präteritum;Ich musste gestern arbeiten.;J'ai dû travailler hier.;I had to work yesterday.
A1;müssen;devoir;;;oui;;Konjunktiv II;Du müsstest früher aufstehen.;Tu devrais te lever plus tôt.;You should get up earlier.
A1;wollen;vouloir;;;oui;;Präsens;Ich will ein Eis.;Je veux une glace.;I want an ice cream.
A1;wollen;vouloir;;;oui;;Perfekt;Ich habe schon immer ein Eis essen wollen.;J'ai toujours voulu manger une glace.;I have always wanted to eat an ice cream.
A1;wollen;vouloir;;;oui;;Präteritum;Ich wollte gestern ins Kino gehen.;Je voulais aller au cinéma hier.;I wanted to go to the cinema yesterday.
A1;wollen;vouloir;;;oui;;Konjunktiv II;Ich wollte, du wärst hier.;J'aimerais que tu sois là.;I wish you were here.
A1;sollen;devoir (être censé);;;oui;;Präsens;Du sollst mehr schlafen.;Tu devrais dormir davantage.;You should sleep more.
A1;sollen;devoir (être censé);;;oui;;Perfekt;Ich habe das nicht sagen sollen.;Je n'étais pas censé dire ça.;I wasn't supposed to say that.
A1;sollen;devoir (être censé);;;oui;;Präteritum;Ich sollte früher kommen.;Je devais venir plus tôt.;I was supposed to come earlier.
A1;sollen;devoir (être censé);;;oui;;Konjunktiv II;Er sollte sich entschuldigen.;Il devrait s'excuser.;He should apologize.
A1;dürfen;avoir le droit de;;;oui;;Präsens;Ich darf heute lange aufbleiben.;J'ai le droit de me coucher tard aujourd'hui.;I'm allowed to stay up late today.
A1;dürfen;avoir le droit de;;;oui;;Perfekt;Ich habe das nicht tun dürfen.;Je n'ai pas eu le droit de faire ça.;I wasn't allowed to do that.
A1;dürfen;avoir le droit de;;;oui;;Präteritum;Ich durfte als Kind spät ins Bett gehen.;Enfant, j'avais le droit de me coucher tard.;As a child, I was allowed to go to bed late.
A1;dürfen;avoir le droit de;;;oui;;Konjunktiv II;Das dürfte richtig sein.;Ça doit être juste.;That should be correct.
