type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
verbe (chapitre VHS);B1;Kapitel 1 (VHS);abschließen;conclure, verrouiller;to conclude, to lock;Wir schließen den Vertrag am Freitag ab.;Nous concluons le contrat vendredi.;We conclude the contract on Friday.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);annehmen;accepter, supposer;to accept, to assume;Sie nimmt das Angebot sofort an.;Elle accepte l'offre immédiatement.;She accepts the offer immediately.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);beruhigen;calmer;to calm down;Die Mutter beruhigt das weinende Kind.;La mère calme l'enfant qui pleure.;The mother calms the crying child.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);sich beschweren;se plaindre (bei qn über qch);to complain (to sb about sth);Ich beschwere mich beim Vermieter über den Lärm.;Je me plains du bruit auprès du propriétaire.;I complain to the landlord about the noise.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);einziehen;emménager;to move in;Wir ziehen nächsten Monat in die neue Wohnung ein.;Nous emménageons dans le nouvel appartement le mois prochain.;We're moving into the new apartment next month.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);entsorgen;éliminer, jeter (des déchets);to dispose of;Er entsorgt die alten Batterien im Supermarkt.;Il jette les vieilles piles au supermarché.;He disposes of the old batteries at the supermarket.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);füttern;nourrir (un animal);to feed (an animal);Er füttert die Katze jeden Morgen um sieben.;Il nourrit le chat tous les matins à sept heures.;He feeds the cat every morning at seven.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);gießen;arroser;to water;Sie gießt die Blumen jeden zweiten Tag.;Elle arrose les fleurs tous les deux jours.;She waters the flowers every other day.
verbe (chapitre VHS);B1;Kapitel 1 (VHS);grüßen;saluer;to greet;Er grüßt seine Nachbarn immer freundlich.;Il salue toujours ses voisins amicalement.;He always greets his neighbors in a friendly way.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);berechnen;calculer;to calculate;Der Verkäufer berechnet den Gesamtpreis.;Le vendeur calcule le prix total.;The salesperson calculates the total price.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);bestätigen;confirmer;to confirm;Sie bestätigt den Termin per E-Mail.;Elle confirme le rendez-vous par e-mail.;She confirms the appointment by email.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);ernten;récolter;to harvest;Die Bauern ernten im September die Äpfel.;Les agriculteurs récoltent les pommes en septembre.;Farmers harvest apples in September.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);garantieren;garantir;to guarantee;Der Verkäufer garantiert die Qualität der Ware.;Le vendeur garantit la qualité de la marchandise.;The seller guarantees the quality of the goods.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);konsumieren;consommer;to consume;Wir konsumieren zu viel Zucker.;Nous consommons trop de sucre.;We consume too much sugar.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);reklamieren;réclamer, faire une réclamation;to file a complaint;Sie reklamiert die defekte Ware im Geschäft.;Elle fait une réclamation au magasin pour la marchandise défectueuse.;She files a complaint about the defective goods at the store.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);schonen;ménager, préserver;to spare, to protect;Langsames Laden schont den Akku.;Une charge lente ménage la batterie.;Slow charging protects the battery.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);überweisen;virer (de l'argent);to transfer (money);Ich überweise dir das Geld noch heute.;Je te vire l'argent dès aujourd'hui.;I'll transfer you the money today.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);überzeugen;convaincre;to convince;Der Verkäufer überzeugt mich von dem Produkt.;Le vendeur me convainc du produit.;The salesperson convinces me about the product.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);umtauschen;échanger (un article);to exchange (an item);Ich tausche das Hemd im Geschäft um.;J'échange la chemise au magasin.;I exchange the shirt at the store.
verbe (chapitre VHS);B1;Kapitel 2 (VHS);verschwinden;disparaître;to disappear;Der Fleck verschwindet beim Waschen.;La tache disparaît au lavage.;The stain disappears in the wash.
