type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
nom;A1;Familie;der Vater;père;father;Mein Vater arbeitet viel.;Mon père travaille beaucoup.;My father works a lot.
nom;A1;Familie;die Mutter;mère;mother;Meine Mutter kocht gern.;Ma mère aime cuisiner.;My mother likes to cook.
nom;A1;Familie;der Bruder;frère;brother;Mein Bruder ist jünger als ich.;Mon frère est plus jeune que moi.;My brother is younger than me.
nom;A1;Familie;die Schwester;sœur;sister;Meine Schwester wohnt in Berlin.;Ma sœur habite à Berlin.;My sister lives in Berlin.
nom;A1;Familie;der Sohn;fils;son;Unser Sohn geht zur Schule.;Notre fils va à l'école.;Our son goes to school.
nom;A1;Familie;die Tochter;fille;daughter;Ihre Tochter ist sehr klug.;Sa fille est très intelligente.;Her daughter is very smart.
nom;A1;Familie;das Kind;enfant;child;Das Kind spielt im Garten.;L'enfant joue dans le jardin.;The child is playing in the garden.
nom;A1;Familie;der Mann;homme/mari;man, husband;Der Mann trägt einen Anzug.;L'homme porte un costume.;The man is wearing a suit.
nom;A1;Familie;die Frau;femme/épouse;woman, wife;Die Frau liest ein Buch.;La femme lit un livre.;The woman is reading a book.
nom;A1;Familie;die Eltern;parents;parents;Meine Eltern wohnen in München.;Mes parents habitent à Munich.;My parents live in Munich.
nom;A1;Familie;die Geschwister;frères et sœurs;siblings;Ich habe zwei Geschwister.;J'ai deux frères et sœurs.;I have two siblings.
nom;A1;Familie;die Familie;famille;family;Meine Familie ist sehr groß.;Ma famille est très grande.;My family is very big.
nom;A1;Familie;der Vorname;prénom;first name;Wie ist dein Vorname?;Quel est ton prénom ?;What is your first name?
nom;A1;Familie;der Nachname;nom de famille;last name;Mein Nachname ist schwer zu schreiben.;Mon nom de famille est difficile à écrire.;My last name is hard to spell.
nom;A1;Familie;die Adresse;adresse;address;Kannst du mir deine Adresse geben?;Peux-tu me donner ton adresse ?;Can you give me your address?
nom;A1;Familie;der Geburtstag;anniversaire;birthday;Mein Geburtstag ist im Mai.;Mon anniversaire est en mai.;My birthday is in May.
